Date,Country,Confirmed,Recovered,Deaths,Active,Daily New Cases,Daily New Recovered,Daily New Deaths
22-01-2020,India,0,0,0,0,0,0,0
23-01-2020,India,0,0,0,0,0,0,0
24-01-2020,India,0,0,0,0,0,0,0
25-01-2020,India,0,0,0,0,0,0,0
26-01-2020,India,0,0,0,0,0,0,0
27-01-2020,India,0,0,0,0,0,0,0
28-01-2020,India,0,0,0,0,0,0,0
29-01-2020,India,0,0,0,0,0,0,0
30-01-2020,India,1,0,0,1,1,0,0
31-01-2020,India,1,0,0,1,0,0,0
01-02-2020,India,1,0,0,1,0,0,0
02-02-2020,India,2,0,0,2,1,0,0
03-02-2020,India,3,0,0,3,1,0,0
04-02-2020,India,3,0,0,3,0,0,0
05-02-2020,India,3,0,0,3,0,0,0
06-02-2020,India,3,0,0,3,0,0,0
07-02-2020,India,3,0,0,3,0,0,0
08-02-2020,India,3,0,0,3,0,0,0
09-02-2020,India,3,0,0,3,0,0,0
10-02-2020,India,3,0,0,3,0,0,0
11-02-2020,India,3,0,0,3,0,0,0
12-02-2020,India,3,0,0,3,0,0,0
13-02-2020,India,3,0,0,3,0,0,0
14-02-2020,India,3,0,0,3,0,0,0
15-02-2020,India,3,0,0,3,0,0,0
16-02-2020,India,3,3,0,0,0,3,0
17-02-2020,India,3,3,0,0,0,0,0
18-02-2020,India,3,3,0,0,0,0,0
19-02-2020,India,3,3,0,0,0,0,0
20-02-2020,India,3,3,0,0,0,0,0
21-02-2020,India,3,3,0,0,0,0,0
22-02-2020,India,3,3,0,0,0,0,0
23-02-2020,India,3,3,0,0,0,0,0
24-02-2020,India,3,3,0,0,0,0,0
25-02-2020,India,3,3,0,0,0,0,0
26-02-2020,India,3,3,0,0,0,0,0
27-02-2020,India,3,3,0,0,0,0,0
28-02-2020,India,3,3,0,0,0,0,0
29-02-2020,India,3,3,0,0,0,0,0
01-03-2020,India,3,3,0,0,0,0,0
02-03-2020,India,5,3,0,2,2,0,0
03-03-2020,India,5,3,0,2,0,0,0
04-03-2020,India,28,3,0,25,23,0,0
05-03-2020,India,30,3,0,27,2,0,0
06-03-2020,India,31,3,0,28,1,0,0
07-03-2020,India,34,3,0,31,3,0,0
08-03-2020,India,39,3,0,36,5,0,0
09-03-2020,India,43,3,0,40,4,0,0
10-03-2020,India,56,4,0,52,13,1,0
11-03-2020,India,62,4,1,57,6,0,1
12-03-2020,India,73,4,1,68,11,0,0
13-03-2020,India,82,4,2,76,9,0,1
14-03-2020,India,102,4,2,96,20,0,0
15-03-2020,India,113,13,2,98,11,9,0
16-03-2020,India,119,13,2,104,6,0,0
17-03-2020,India,142,14,3,125,23,1,1
18-03-2020,India,156,14,3,139,14,0,0
19-03-2020,India,194,15,4,175,38,1,1
20-03-2020,India,244,20,5,219,50,5,1
21-03-2020,India,330,23,4,303,86,3,-1
22-03-2020,India,396,27,7,362,66,4,3
23-03-2020,India,499,27,10,462,103,0,3
24-03-2020,India,536,40,10,486,37,13,0
25-03-2020,India,657,43,12,602,121,3,2
26-03-2020,India,727,45,20,662,70,2,8
27-03-2020,India,887,73,20,794,160,28,0
28-03-2020,India,987,84,24,879,100,11,4
29-03-2020,India,1024,95,27,902,37,11,3
30-03-2020,India,1251,102,32,1117,227,7,5
31-03-2020,India,1397,123,35,1239,146,21,3
01-04-2020,India,1998,148,58,1792,601,25,23
02-04-2020,India,2543,191,72,2280,545,43,14
03-04-2020,India,2567,192,72,2303,24,1,0
04-04-2020,India,3082,229,86,2767,515,37,14
05-04-2020,India,3588,229,99,3260,506,0,13
06-04-2020,India,4778,375,136,4267,1190,146,37
07-04-2020,India,5311,421,150,4740,533,46,14
08-04-2020,India,5916,506,178,5232,605,85,28
09-04-2020,India,6725,620,226,5879,809,114,48
10-04-2020,India,7598,774,246,6578,873,154,20
11-04-2020,India,8446,969,288,7189,848,195,42
12-04-2020,India,9205,1080,331,7794,759,111,43
13-04-2020,India,10453,1181,358,8914,1248,101,27
14-04-2020,India,11487,1359,393,9735,1034,178,35
15-04-2020,India,12322,1432,405,10485,835,73,12
16-04-2020,India,13430,1768,448,11214,1108,336,43
17-04-2020,India,14352,2041,486,11825,922,273,38
18-04-2020,India,15722,2463,521,12738,1370,422,35
19-04-2020,India,17615,2854,559,14202,1893,391,38
20-04-2020,India,18539,3273,592,14674,924,419,33
21-04-2020,India,20080,3975,645,15460,1541,702,53
22-04-2020,India,21370,4370,681,16319,1290,395,36
23-04-2020,India,23077,5012,721,17344,1707,642,40
24-04-2020,India,24530,5498,780,18252,1453,486,59
25-04-2020,India,26283,5939,825,19519,1753,441,45
26-04-2020,India,27890,6523,881,20486,1607,584,56
27-04-2020,India,29451,7137,939,21375,1561,614,58
28-04-2020,India,31324,7747,1008,22569,1873,610,69
29-04-2020,India,33062,8437,1079,23546,1738,690,71
30-04-2020,India,34863,9068,1154,24641,1801,631,75
01-05-2020,India,37257,10007,1223,26027,2394,939,69
02-05-2020,India,39699,10819,1323,27557,2442,812,100
03-05-2020,India,42505,11775,1391,29339,2806,956,68
04-05-2020,India,46437,12847,1566,32024,3932,1072,175
05-05-2020,India,49400,14142,1693,33565,2963,1295,127
06-05-2020,India,52987,15331,1785,35871,3587,1189,92
07-05-2020,India,56351,16776,1889,37686,3364,1445,104
08-05-2020,India,59695,17887,1985,39823,3344,1111,96
09-05-2020,India,62808,19301,2101,41406,3113,1414,116
10-05-2020,India,67161,20969,2212,43980,4353,1668,111
11-05-2020,India,70768,22549,2294,45925,3607,1580,82
12-05-2020,India,74292,24420,2415,47457,3524,1871,121
13-05-2020,India,78055,26400,2551,49104,3763,1980,136
14-05-2020,India,81997,27969,2649,51379,3942,1569,98
15-05-2020,India,85784,30258,2753,52773,3787,2289,104
16-05-2020,India,90648,34224,2871,53553,4864,3966,118
17-05-2020,India,95698,36795,3025,55878,5050,2571,154
18-05-2020,India,100328,39233,3156,57939,4630,2438,131
19-05-2020,India,106475,42309,3302,60864,6147,3076,146
20-05-2020,India,112028,45422,3434,63172,5553,3113,132
21-05-2020,India,118226,48553,3584,66089,6198,3131,150
22-05-2020,India,124794,51824,3726,69244,6568,3271,142
23-05-2020,India,131423,54385,3868,73170,6629,2561,142
24-05-2020,India,138536,57692,4024,76820,7113,3307,156
25-05-2020,India,144950,60706,4172,80072,6414,3014,148
26-05-2020,India,150793,64277,4344,82172,5843,3571,172
27-05-2020,India,158086,67749,4534,85803,7293,3472,190
28-05-2020,India,165386,70920,4711,89755,7300,3171,177
29-05-2020,India,173491,82627,4980,85884,8105,11707,269
30-05-2020,India,181827,86936,5185,89706,8336,4309,205
31-05-2020,India,190609,91852,5408,93349,8782,4916,223
01-06-2020,India,198370,95754,5608,97008,7761,3902,200
02-06-2020,India,207191,100285,5829,101077,8821,4531,221
03-06-2020,India,216824,104071,6088,106665,9633,3786,259
04-06-2020,India,226713,108450,6363,111900,9889,4379,275
05-06-2020,India,236184,113233,6649,116302,9471,4783,286
06-06-2020,India,246622,118695,6946,120981,10438,5462,297
07-06-2020,India,257486,123848,7207,126431,10864,5153,261
08-06-2020,India,265928,129095,7473,129360,8442,5247,266
09-06-2020,India,276146,134670,7750,133726,10218,5575,277
10-06-2020,India,286605,135206,8102,143297,10459,536,352
11-06-2020,India,297535,147195,8498,141842,10930,11989,396
12-06-2020,India,308993,154330,8884,145779,11458,7135,386
13-06-2020,India,320922,162379,9195,149348,11929,8049,311
14-06-2020,India,332424,169798,9520,153106,11502,7419,325
15-06-2020,India,343091,180013,9900,153178,10667,10215,380
16-06-2020,India,354065,186935,11903,155227,10974,6922,2003
17-06-2020,India,366946,194325,12237,160384,12881,7390,334
18-06-2020,India,380532,204711,12573,163248,13586,10386,336
19-06-2020,India,395048,213831,12948,168269,14516,9120,375
20-06-2020,India,410451,227728,13254,169469,15403,13897,306
21-06-2020,India,425282,237196,13699,174387,14831,9468,445
22-06-2020,India,440215,248190,14011,178014,14933,10994,312
23-06-2020,India,456183,258685,14476,183022,15968,10495,465
24-06-2020,India,473105,271697,14894,186514,16922,13012,418
25-06-2020,India,490401,285637,15301,189463,17296,13940,407
26-06-2020,India,508953,295881,15685,197387,18552,10244,384
27-06-2020,India,528859,309713,16095,203051,19906,13832,410
28-06-2020,India,548318,321723,16475,210120,19459,12010,380
29-06-2020,India,566840,334822,16893,215125,18522,13099,418
30-06-2020,India,585481,347912,17400,220169,18641,13090,507
01-07-2020,India,604641,359860,17834,226947,19160,11948,434
02-07-2020,India,625544,379892,18213,227439,20903,20032,379
03-07-2020,India,648315,394227,18655,235433,22771,14335,442
04-07-2020,India,673165,409083,19268,244814,24850,14856,613
05-07-2020,India,697413,424433,19693,253287,24248,15350,425
06-07-2020,India,719664,439934,20159,259571,22251,15501,466
07-07-2020,India,742417,456831,20642,264944,22753,16897,483
08-07-2020,India,767296,476378,21129,269789,24879,19547,487
09-07-2020,India,793802,495513,21604,276685,26506,19135,475
10-07-2020,India,820916,515386,22123,283407,27114,19873,519
11-07-2020,India,849522,534618,22673,292231,28606,19232,550
12-07-2020,India,878254,553471,23174,301609,28732,18853,501
13-07-2020,India,906752,571460,23727,311565,28498,17989,553
14-07-2020,India,936181,592032,24309,319840,29429,20572,582
15-07-2020,India,968857,612768,24914,331175,32676,20736,605
16-07-2020,India,1003832,635757,25602,342473,34975,22989,688
17-07-2020,India,1039084,653751,26273,359060,35252,17994,671
18-07-2020,India,1077781,677423,26816,373542,38697,23672,543
19-07-2020,India,1118206,700087,27497,390622,40425,22664,681
20-07-2020,India,1155338,724578,28082,402678,37132,24491,585
21-07-2020,India,1193078,753050,28732,411296,37740,28472,650
22-07-2020,India,1238798,782607,29861,426330,45720,29557,1129
23-07-2020,India,1288108,817209,30601,440298,49310,34602,740
24-07-2020,India,1337024,849432,31358,456234,48916,32223,757
25-07-2020,India,1385635,885573,32060,468002,48611,36141,702
26-07-2020,India,1435616,917568,32771,485277,49981,31995,711
27-07-2020,India,1480073,951166,33408,495499,44457,33598,637
28-07-2020,India,1531669,988029,34193,509447,51596,36863,785
29-07-2020,India,1581963,1019735,34955,527273,50294,31706,762
30-07-2020,India,1634746,1055348,35718,543680,52783,35613,763
31-07-2020,India,1695988,1094374,36511,565103,61242,39026,793
01-08-2020,India,1750723,1145629,37364,567730,54735,51255,853
02-08-2020,India,1803695,1186203,38135,579357,52972,40574,771
03-08-2020,India,1855745,1230509,38938,586298,52050,44306,803
04-08-2020,India,1908254,1282215,39795,586244,52509,51706,857
05-08-2020,India,1964536,1328336,40699,595501,56282,46121,904
06-08-2020,India,2027074,1378105,41585,607384,62538,49769,886
07-08-2020,India,2088611,1427005,42518,619088,61537,48900,933
08-08-2020,India,2153010,1480884,43379,628747,64399,53879,861
09-08-2020,India,2215074,1535743,44386,634945,62064,54859,1007
10-08-2020,India,2268675,1583489,45257,639929,53601,47746,871
11-08-2020,India,2329638,1639599,46091,643948,60963,56110,834
12-08-2020,India,2396637,1695982,47033,653622,66999,56383,942
13-08-2020,India,2461190,1751555,48040,661595,64553,55573,1007
14-08-2020,India,2525922,1808936,49036,667950,64732,57381,996
15-08-2020,India,2589952,1862258,49980,677714,64030,53322,944
16-08-2020,India,2647663,1919842,50921,676900,57711,57584,941
17-08-2020,India,2702681,1977671,51797,673213,55018,57829,876
18-08-2020,India,2767253,2037816,52888,676549,64572,60145,1091
19-08-2020,India,2836925,2096664,53866,686395,69672,58848,978
20-08-2020,India,2905825,2158946,54849,692030,68900,62282,983
21-08-2020,India,2975701,2222577,55794,697330,69876,63631,945
22-08-2020,India,3044940,2280566,56706,707668,69239,57989,912
23-08-2020,India,3106348,2338035,57542,710771,61408,57469,836
24-08-2020,India,3167323,2404585,58390,704348,60975,66550,848
25-08-2020,India,3224547,2458339,59357,706851,57224,53754,967
26-08-2020,India,3310234,2523771,60472,725991,85687,65432,1115
27-08-2020,India,3387500,2583948,61529,742023,77266,60177,1057
28-08-2020,India,3463972,2648998,62550,752424,76472,65050,1021
29-08-2020,India,3542733,2713933,63498,765302,78761,64935,948
30-08-2020,India,3621245,2774801,64469,781975,78512,60868,971
31-08-2020,India,3691166,2839882,65288,785996,69921,65081,819
01-09-2020,India,3769523,2901908,66333,801282,78357,62026,1045
02-09-2020,India,3853406,2970492,67376,815538,83883,68584,1043
03-09-2020,India,3936747,3037151,68472,831124,83341,66659,1096
04-09-2020,India,4023179,3107223,69561,846395,86432,70072,1089
05-09-2020,India,4113811,3180865,70626,862320,90632,73642,1065
06-09-2020,India,4204613,3250429,71642,882542,90802,69564,1016
07-09-2020,India,4280422,3323950,72775,883697,75809,73521,1133
08-09-2020,India,4370128,3398844,73890,897394,89706,74894,1115
09-09-2020,India,4465863,3471783,75062,919018,95735,72939,1172
10-09-2020,India,4562414,3542663,76271,943480,96551,70880,1209
11-09-2020,India,4659984,3624196,77472,958316,97570,81533,1201
12-09-2020,India,4754356,3702595,78586,973175,94372,78399,1114
13-09-2020,India,4846427,3780107,79722,986598,92071,77512,1136
14-09-2020,India,4930236,3859399,80776,990061,83809,79292,1054
15-09-2020,India,5020359,3942360,82066,995933,90123,82961,1290
16-09-2020,India,5118253,4025079,83198,1009976,97894,82719,1132
17-09-2020,India,5214677,4112551,84372,1017754,96424,87472,1174
18-09-2020,India,5308014,4208431,85619,1013964,93337,95880,1247
19-09-2020,India,5400619,4303043,86752,1010824,92605,94612,1133
20-09-2020,India,5487580,4396399,87882,1003299,86961,93356,1130
21-09-2020,India,5562663,4497867,88935,975861,75083,101468,1053
22-09-2020,India,5646010,4587613,90020,968377,83347,89746,1085
23-09-2020,India,5732518,4674987,91149,966382,86508,87374,1129
24-09-2020,India,5818570,4756164,92290,970116,86052,81177,1141
25-09-2020,India,5903932,4849584,93379,960969,85362,93420,1089
26-09-2020,India,5992532,4941627,94503,956402,88600,92043,1124
27-09-2020,India,6074702,5016520,95542,962640,82170,74893,1039
28-09-2020,India,6145291,5101397,96318,947576,70589,84877,776
29-09-2020,India,6225763,5187825,97497,940441,80472,86428,1179
30-09-2020,India,6312584,5273201,98678,940705,86821,85376,1181
01-10-2020,India,6394068,5352078,99773,942217,81484,78877,1095
02-10-2020,India,6473544,5427706,100842,944996,79476,75628,1069
03-10-2020,India,6549373,5509966,101782,937625,75829,82260,940
04-10-2020,India,6623815,5586703,102685,934427,74442,76737,903
05-10-2020,India,6685082,5662490,103569,919023,61267,75787,884
06-10-2020,India,6757131,5744693,104555,907883,72049,82203,986
07-10-2020,India,6835655,5827704,105526,902425,78524,83011,971
08-10-2020,India,6906151,5906069,106490,893592,70496,78365,964
09-10-2020,India,6979423,5988822,107416,883185,73272,82753,926
10-10-2020,India,7053806,6077976,108334,867496,74383,89154,918
11-10-2020,India,7120538,6149535,109150,861853,66732,71559,816
12-10-2020,India,7175880,6227295,109856,838729,55342,77760,706
13-10-2020,India,7239389,6301927,110586,826876,63509,74632,730
14-10-2020,India,7307097,6383441,111266,812390,67708,81514,680
15-10-2020,India,7370468,6453779,112161,804528,63371,70338,895
16-10-2020,India,7432680,6524595,112998,795087,62212,70816,837
17-10-2020,India,7494551,6597209,114031,783311,61871,72614,1033
18-10-2020,India,7550273,6663608,114610,772055,55722,66399,579
19-10-2020,India,7597063,6733328,115197,748538,46790,69720,587
20-10-2020,India,7651107,6795103,115914,740090,54044,61775,717
21-10-2020,India,7706946,6874518,116616,715812,55839,79415,702
22-10-2020,India,7761312,6948497,117306,695509,54366,73979,690
23-10-2020,India,7814682,7016046,117956,680680,53370,67549,650
24-10-2020,India,7864811,7078123,118534,668154,50129,62077,578
25-10-2020,India,7909959,7137228,119014,653717,45148,59105,480
26-10-2020,India,7946429,7201070,119502,625857,36470,63842,488
27-10-2020,India,7990322,7259509,120010,610803,43893,58439,508
28-10-2020,India,8040203,7315989,120527,603687,49881,56480,517
29-10-2020,India,8088851,7373375,121090,594386,48648,57386,563
30-10-2020,India,8137119,7432829,121641,582649,48268,59454,551
31-10-2020,India,8184082,7491513,122111,570458,46963,58684,470
01-11-2020,India,8229313,7544798,122607,561908,45231,53285,496
02-11-2020,India,8267623,7603121,123097,541405,38310,58323,490
03-11-2020,India,8313876,7656478,123611,533787,46253,53357,514
04-11-2020,India,8364086,7711809,124315,527962,50210,55331,704
05-11-2020,India,8411724,7765966,124985,520773,47638,54157,670
06-11-2020,India,8462080,7819886,125562,516632,50356,53920,577
07-11-2020,India,8507754,7868968,126121,512665,45674,49082,559
08-11-2020,India,8553657,7917373,126611,509673,45903,48405,490
09-11-2020,India,8591730,7959406,127059,505265,38073,42033,448
10-11-2020,India,8636011,8013783,127571,494657,44281,54377,512
11-11-2020,India,8683916,8066501,128121,489294,47905,52718,550
12-11-2020,India,8728795,8115580,128668,484547,44879,49079,547
13-11-2020,India,8773479,8163572,129188,480719,44684,47992,520
14-11-2020,India,8814579,8205728,129635,479216,41100,42156,447
15-11-2020,India,8845127,8249579,130070,465478,30548,43851,435
16-11-2020,India,8874290,8290370,130519,453401,29163,40791,449
17-11-2020,India,8912907,8335109,130993,446805,38617,44739,474
18-11-2020,India,8958483,8383602,131578,443303,45576,48493,585
19-11-2020,India,9004365,8428409,132162,443794,45882,44807,584
20-11-2020,India,9050597,8478124,132726,439747,46232,49715,564
21-11-2020,India,9095806,8521617,133227,440962,45209,43493,501
22-11-2020,India,9139865,8562641,133738,443486,44059,41024,511
23-11-2020,India,9177840,8604955,134218,438667,37975,42314,480
24-11-2020,India,9222216,8642771,134699,444746,44376,37816,481
25-11-2020,India,9266705,8679138,135223,452344,44489,36367,524
26-11-2020,India,9309787,8718517,135715,455555,43082,39379,492
27-11-2020,India,9351109,8759969,136200,454940,41322,41452,485
28-11-2020,India,9392919,8802267,136696,453956,41810,42298,496
29-11-2020,India,9431691,8847600,137139,446952,38772,45333,443
30-11-2020,India,9462809,8889585,137621,435603,31118,41985,482
01-12-2020,India,9499413,8932647,138122,428644,36604,43062,501
02-12-2020,India,9534964,8973373,138648,422943,35551,40726,526
03-12-2020,India,9571559,9016289,139188,416082,36595,42916,540
04-12-2020,India,9608211,9058822,139700,409689,36652,42533,512
05-12-2020,India,9644222,9100792,140182,403248,36011,41970,482
06-12-2020,India,9677203,9139901,140573,396729,32981,39109,391
